Run,Score,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
80,199,0.73560,-1.01678,-0.08422,0.15526,-0.35911,0.02481,0.09440,-0.24299,-0.89168,0.31264,0.27258,0.18643,0.58490,-0.08607,-1.11817,-0.10454
81,199,0.15717,0.38560,-0.46257,0.75877,-0.40966,-0.78024,0.56768,-0.68446,-0.84919,0.11889,0.68668,0.69783,-0.46560,0.21572,-0.90001,-0.29148
82,199,0.74609,-0.78422,-0.57923,0.40876,-0.51422,-0.74475,0.78442,-0.49170,-1.06993,0.06262,0.85807,0.63192,-0.54082,0.16908,-0.18393,-0.66165
83,199,0.16112,0.27948,-0.60760,-0.26923,0.46674,-0.64572,-1.04692,0.11183,-0.93453,0.51446,-1.19175,0.33556,0.50231,-0.18367,-0.41407,-0.19803
84,199,-0.40918,-1.01494,0.52269,-0.70286,0.13264,-0.96788,0.86407,-0.10636,-0.87898,-1.20528,-0.65284,-0.05552,0.95876,0.37230,0.60322,-0.60185
85,199,-0.18432,-0.96246,-0.07431,0.98458,-0.61790,-0.79647,-0.19725,-0.16531,-0.85503,0.78033,-0.62429,0.37938,-0.72846,-0.14432,0.14804,-0.77061
86,199,-0.64063,0.02590,-0.33703,-0.83175,-0.11930,-0.64588,1.13913,0.13414,-0.90160,-0.95102,-0.51246,0.30967,0.43671,-0.41595,-0.55141,0.02615
87,199,-0.24882,-1.02668,-0.57802,0.32717,0.92723,-0.64268,0.09060,-0.28577,-1.18271,-0.81619,-0.66413,0.43076,0.55821,-0.66192,0.10703,-0.00606
88,198,0.27050,0.06438,0.30105,-0.35351,0.02824,-0.38866,0.15795,-0.83356,-0.83199,-0.44758,-0.54798,0.73691,-0.53093,-0.24458,-0.93246,-0.16418
89,199,-0.06790,-0.40787,0.26654,-0.24435,0.17522,-0.44803,-0.34971,0.19907,-1.08381,-0.20261,-0.96450,0.71880,-0.22369,-0.73353,-0.37458,-0.52682
